"chrom","all_pval","ACP267_pval","NotACP267_pval"
"GBGJ01057634",3.966534e-05,0.0002995866,4.13269e-05
"GBGJ01057637",4.160486e-07,0.01074108,5.024967e-07
"GBGJ01057802",2.801737e-11,4.976262e-06,3.349053e-11
"GBGJ01057805",1.599939e-05,0.002087425,1.425583e-05
"GBGJ01057806",3.240581e-09,1.500251e-05,3.966946e-09
"GBGJ01057955",1.210275e-08,0.0001363089,8.088261e-09
"GBGJ01057990",0.02889075,2.553307e-15,0.02650564
"GBGJ01058042",1.128798e-06,0.0006130139,9.894705e-07
"GBGJ01058144",2.0185e-11,0.1276944,2.162072e-11
"GBGJ01058319",0.02810485,6.522189e-05,0.02651202
"GBGJ01058346",9.107674e-14,0.08752962,2.815957e-13
"GBGJ01058478",3.347131e-06,2.08057e-06,3.841942e-06
"GBGJ01058545",3.812609e-12,0.002916129,5.779023e-12
"GBGJ01058599",0.01048311,3.312906e-05,0.008746503
"GBGJ01059788",0.003017291,7.2568e-50,0.0002071548
"GBGJ01059816",7.549428e-07,0.01463466,8.498243e-07
"GBGJ01059934",5.12977e-06,0.2433946,4.879811e-06
"GBGJ01059937",7.267289e-06,2.370546e-08,5.912749e-06
"GBGJ01060013",3.04931e-05,0.0003314639,2.381324e-05
"GBGJ01060524",9.691209e-07,0.0001273105,1.269419e-06
"GBGJ01061005",1.054418e-05,1.397606e-06,1.165175e-05
"GBGJ01061125",0.001827716,8.80179e-06,0.001471777
"GBGJ01061126",2.649789e-05,7.461201e-06,2.319974e-05
"GBGJ01061393",5.36985e-06,0.0005194005,5.706786e-06
"GBGJ01061516",1.04595e-05,0.01782813,9.967995e-06
"GBGJ01061609",3.389842e-07,1.234705e-05,2.687158e-07
"GBGJ01061611",1.100435e-06,0.0005334271,9.230054e-07
"GBGJ01061614",2.558131e-08,5.775174e-09,1.234446e-08
"GBGJ01061615",2.702554e-07,1.105823e-08,1.333914e-07
"GBGJ01061627",1.363582e-06,2.390012e-05,8.478652e-07
"GBGJ01061633",0.0008849112,1.554678e-06,0.0007072625
"GBGJ01061689",8.403906e-05,0.05842082,7.231763e-05
"GBGJ01061824",0.08727913,1.238421e-08,0.07785251
"GBGJ01061827",2.926978e-05,1.850447e-06,2.05921e-05
"GBGJ01062063",0.003049107,2.85869e-07,0.002930299
"GBGJ01062094",0.0002404629,1.189499e-05,0.0001795232
"GBGJ01062096",4.338425e-07,0.002548756,3.981721e-07
"GBGJ01062178",0.001322105,1.218024e-06,0.001102896
"GBGJ01062379",0.0004374648,2.322856e-09,0.0003235035
"GBGJ01062380",2.781034e-05,2.498205e-05,2.077092e-05
"GBGJ01062386",1.035967e-05,1.573977e-06,8.079941e-06
"GBGJ01062538",7.064087e-05,0.02196071,7.198939e-05
"GBGJ01062855",0.008052827,1.232396e-68,0.006407868
"GBGJ01063193",5.683558e-05,0.001056104,5.221499e-05
"GBGJ01063322",0.1363734,1.520464e-21,0.1109475
"GBGJ01063588",0.01606532,3.623774e-05,0.01504611
"GBGJ01063979",8.28335e-05,0.01868282,7.058776e-05
"GBGJ01063981",5.5125e-07,0.0001201178,5.5125e-07
"GBGJ01064163",2.453016e-05,0.00219711,2.643466e-05
"GBGJ01064291",1.524847e-10,0.03071943,1.760554e-10
"GBGJ01064637",9.016095e-08,0.00158088,8.993288e-08
"GBGJ01064705",0.07015016,3.929624e-62,0.04026774
"GBGJ01064706",0.1276944,2.210932e-69,0.0982734
"GBGJ01064722",6.187551e-09,0.0369096,1.315345e-08
"GBGJ01064725",0.0004791348,6.494725e-07,0.000461376
"GBGJ01064844",0.1326323,1.150458e-14,0.1326323
"GBGJ01064860",0.0007282137,6.499776e-05,0.0007234862
"GBGJ01064862",0.003749087,6.312266e-11,0.003125275
"GBGJ01064868",0.01488947,2.082581e-09,0.01409667
"GBGJ01065209",3.10065e-05,0.06783126,3.504517e-05
"GBGJ01065609",2.036707e-05,0.1638894,1.862433e-05
"GBGJ01065728",0.01546695,1.717822e-07,0.01786914
"GBGJ01066356",0.01105278,8.854671e-05,0.01166681
"GBGJ01066483",0.0003533254,1.312579e-05,0.0003208777
"GBGJ01066574",1.714769e-07,4.898155e-07,1.062765e-07
"GBGJ01066799",0.002771546,1.307289e-11,0.002282268
"GBGJ01066803",0.04169613,1.413967e-06,0.04184811
"GBGJ01066950",3.171139e-05,0.0003903982,2.756606e-05
"GBGJ01066951",0.01716591,3.446869e-08,0.01790769
"GBGJ01067100",5.968011e-06,0.004949394,5.714857e-06
"GBGJ01067332",7.308993e-06,5.041674e-06,1.05712e-05
"GBGJ01067452",0.0516311,7.648293e-06,0.05099022
"GBGJ01067453",0.003754044,1.607867e-05,0.004986359
